_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"0.024542","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=1 Ack=544 Win=1452 Len=0 TSval=2673733659 TSecr=1078338023"
"0.205017","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"0.205080","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=544 Ack=544 Win=5608 Len=0 TSval=1078338228 TSecr=2673733704"
"0.206143","172.18.0.2","54.38.73.16","TCP","1516","[TCP segment of a reassembled PDU]"
"0.206232","172.18.0.2","54.38.73.16","TLSv1.2","705","Application Data"
"0.230334","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=544 Ack=2629 Win=1448 Len=0 TSval=2673733710 TSecr=1078338230"
"0.488306","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"0.488382","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=2629 Ack=1087 Win=5608 Len=0 TSval=1078338512 TSecr=2673733774"
"0.542982","54.38.73.16","172.18.0.2","TLSv1.2","1125","Application Data"
"0.543021","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=2629 Ack=2144 Win=5600 Len=0 TSval=1078338566 TSecr=2673733788"
"0.550478","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"0.579896","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2144 Ack=3172 Win=1452 Len=0 TSval=2673733796 TSecr=1078338574"
"0.996046","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"0.996105","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3172 Ack=2687 Win=5608 Len=0 TSval=1078339019 TSecr=2673733893"
"0.997117","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.021373","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2687 Ack=3715 Win=1452 Len=0 TSval=2673733908 TSecr=1078339020"
"1.288376","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"1.322248","54.38.73.16","172.18.0.2","TLSv1.2","8756","Application Data, Application Data"
"1.322307","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=11918 Win=5565 Len=0 TSval=1078339346 TSecr=2673733974"
"1.347056","54.38.73.16","172.18.0.2","TLSv1.2","9515","Application Data, Application Data, Application Data"
"1.347247","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=21365 Win=5549 Len=0 TSval=1078339371 TSecr=2673733989"
"1.374828","54.38.73.16","172.18.0.2","TLSv1.2","7322","Application Data, Application Data"
"1.374866","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=28619 Win=5571 Len=0 TSval=1078339398 TSecr=2673733996"
"1.375777","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.378373","54.38.73.16","172.18.0.2","TCP","1516","[TCP segment of a reassembled PDU]"
"1.401442","54.38.73.16","172.18.0.2","TCP","68","[TCP Previous segment not captured] 21002 → 36876 [ACK] Seq=38755 Ack=4258 Win=1452 Len=0 TSval=2673734003 TSecr=1078339399"
"1.401450","54.38.73.16","172.18.0.2","TCP","8756","[TCP Retransmission] 21002 → 36876 [ACK] Seq=30067 Ack=3715 Win=1452 Len=8688 TSval=2673734002 TSecr=1078339398"
"1.401558","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4258 Ack=38755 Win=5565 Len=0 TSval=1078339425 TSecr=2673733997"
"1.428379","54.38.73.16","172.18.0.2","TLSv1.2","8610","Ignored Unknown Record"
"1.428419","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4258 Ack=47297 Win=5566 Len=0 TSval=1078339452 TSecr=2673734010"
"1.428932","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.452728","54.38.73.16","172.18.0.2","TLSv1.2","2667","Application Data"
"1.452762","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4801 Ack=49896 Win=5596 Len=0 TSval=1078339476 TSecr=2673734016"
"1.469469","54.38.73.16","172.18.0.2","TCP","2964","[TCP segment of a reassembled PDU]"
"1.469664","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4801 Ack=52792 Win=5595 Len=0 TSval=1078339493 TSecr=2673734020"
"1.478666","54.38.73.16","172.18.0.2","TLSv1.2","799","Application Data"
"1.480425","54.38.73.16","172.18.0.2","TLSv1.2","5860","Application Data"
"1.480610","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4801 Ack=59315 Win=5580 Len=0 TSval=1078339504 TSecr=2673734022"
"1.481062","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.494407","54.38.73.16","172.18.0.2","TLSv1.2","2964","Application Data [TCP segment of a reassembled PDU]"
"1.494452","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=5344 Ack=62211 Win=5595 Len=0 TSval=1078339518 TSecr=2673734026"
"1.506083","54.38.73.16","172.18.0.2","TLSv1.2","3832","Application Data, Application Data"
"1.506259","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=5344 Ack=65975 Win=5579 Len=0 TSval=1078339530 TSecr=2673734029"
"1.543216","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=65975 Ack=5344 Win=1452 Len=0 TSval=2673734039 TSecr=1078339504"
"1.549871","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"1.566271","54.38.73.16","172.18.0.2","TCP","2964","[TCP segment of a reassembled PDU]"
"1.566307","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=5344 Ack=69414 Win=5595 Len=0 TSval=1078339590 TSecr=2673734040"
"1.592945","54.38.73.16","172.18.0.2","TLSv1.2","799","Application Data"
"1.603094","54.38.73.16","172.18.0.2","TCP","2964","[TCP segment of a reassembled PDU]"
"1.603129","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=5344 Ack=73041 Win=5595 Len=0 TSval=1078339627 TSecr=2673734051"
"1.614037","54.38.73.16","172.18.0.2","TLSv1.2","4412","Application Data [TCP segment of a reassembled PDU]"
"1.614219","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=5344 Ack=77385 Win=5579 Len=0 TSval=1078339638 TSecr=2673734056"
"1.624216","54.38.73.16","172.18.0.2","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.626907","54.38.73.16","172.18.0.2","TLSv1.2","2261","Application Data"
"1.626942","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=5344 Ack=81026 Win=5598 Len=0 TSval=1078339650 TSecr=2673734058"
"1.627547","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.650987","54.38.73.16","172.18.0.2","TLSv1.2","1125","Application Data"
"1.666999","54.38.73.16","172.18.0.2","TCP","1516","[TCP segment of a reassembled PDU]"
"1.667232","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=5887 Ack=83531 Win=5593 Len=0 TSval=1078339691 TSecr=2673734065"
"1.692186","54.38.73.16","172.18.0.2","TLSv1.2","191","Application Data"
"1.699393","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.759227","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=83654 Ack=6430 Win=1452 Len=0 TSval=2673734093 TSecr=1078339723"
"2.217940","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"2.219002","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"2.242675","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=84197 Ack=6973 Win=1452 Len=0 TSval=2673734213 TSecr=1078340242"
"2.545754","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"2.587317","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=6973 Ack=84740 Win=5612 Len=0 TSval=1078340611 TSecr=2673734289"
"2.588495","54.38.73.16","172.18.0.2","TCP","2964","[TCP segment of a reassembled PDU]"
"2.588549","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=6973 Ack=87636 Win=5595 Len=0 TSval=1078340612 TSecr=2673734299"
"2.599247","54.38.73.16","172.18.0.2","TLSv1.2","4412","Application Data [TCP segment of a reassembled PDU]"
"2.599286","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=6973 Ack=91980 Win=5579 Len=0 TSval=1078340623 TSecr=2673734302"
"2.612811","54.38.73.16","172.18.0.2","TLSv1.2","1516","Application Data, Application Data"
