_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.000301","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=1 Ack=544 Win=65535 Len=0"
"0.280262","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.280954","172.19.0.3","5.9.29.183","TLSv1.2","2141","Application Data"
"0.281320","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=544 Ack=2004 Win=65535 Len=0"
"0.281366","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=544 Ack=2629 Win=65535 Len=0"
"0.830376","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.873248","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=1087 Win=11911 Len=0"
"0.882152","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"0.882170","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=2547 Win=11911 Len=0"
"0.882202","5.9.29.183","172.19.0.3","TLSv1.2","167","Application Data"
"0.882213","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=2658 Win=11911 Len=0"
"0.885282","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.885585","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2658 Ack=3172 Win=65535 Len=0"
"1.214438","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.215778","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.216327","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=3201 Ack=3715 Win=65535 Len=0"
"1.522014","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
