_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"0.064470","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=1 Ack=544 Win=1452 Len=0 TSval=2679134438 TSecr=1099940943"
"0.611402","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"0.611457","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=544 Ack=544 Win=5608 Len=0 TSval=1099941555 TSecr=2679134571"
"0.612537","172.18.0.2","54.38.73.16","TLSv1.2","2153","Application Data"
"0.637616","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=544 Ack=1992 Win=1452 Len=0 TSval=2679134581 TSecr=1099941556"
"0.638605","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=544 Ack=2629 Win=1452 Len=0 TSval=2679134581 TSecr=1099941556"
"1.328707","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"1.328755","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=2629 Ack=1087 Win=5608 Len=0 TSval=1099942272 TSecr=2679134734"
"1.360760","54.38.73.16","172.18.0.2","TLSv1.2","1125","Application Data"
"1.360784","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=2629 Ack=2144 Win=5600 Len=0 TSval=1099942304 TSecr=2679134761"
"1.367027","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.391703","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2144 Ack=3172 Win=1452 Len=0 TSval=2679134769 TSecr=1099942310"
"1.840586","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"1.840641","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3172 Ack=2687 Win=5608 Len=0 TSval=1099942784 TSecr=2679134878"
"1.841643","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.866125","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2687 Ack=3715 Win=1452 Len=0 TSval=2679134888 TSecr=1099942785"
"2.557825","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"2.558137","54.38.73.16","172.18.0.2","TCP","2964","[TCP segment of a reassembled PDU]"
"2.558156","54.38.73.16","172.18.0.2","TLSv1.2","4412","Application Data [TCP segment of a reassembled PDU]"
"2.558169","54.38.73.16","172.18.0.2","TLSv1.2","2964","Application Data [TCP segment of a reassembled PDU]"
"2.558175","54.38.73.16","172.18.0.2","TLSv1.2","1516","Application Data, Application Data"
"2.558349","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=14814 Win=5551 Len=0 TSval=1099943502 TSecr=2679134990"
"2.559073","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"2.582468","54.38.73.16","172.18.0.2","TLSv1.2","11332","Application Data, Application Data, Application Data, Application Data"
"2.582493","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4258 Ack=26078 Win=5552 Len=0 TSval=1099943526 TSecr=2679135067"
"2.582815","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=26078 Ack=4258 Win=1452 Len=0 TSval=2679135067 TSecr=1099943502"
"2.587270","54.38.73.16","172.18.0.2","TCP","1516","[TCP segment of a reassembled PDU]"
"2.607180","54.38.73.16","172.18.0.2","TLSv1.2","2964","Application Data [TCP segment of a reassembled PDU]"
"2.607209","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4258 Ack=30422 Win=5596 Len=0 TSval=1099943551 TSecr=2679135068"
"2.607626","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"2.607854","54.38.73.16","172.18.0.2","TLSv1.2","8756","Application Data, Application Data"
"2.607934","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4801 Ack=39110 Win=5566 Len=0 TSval=1099943551 TSecr=2679135073"
"2.631002","54.38.73.16","172.18.0.2","TLSv1.2","1059","Application Data, Application Data"
