_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.000451","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=1 Ack=544 Win=65535 Len=0"
"0.473870","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.473908","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=544 Ack=544 Win=11911 Len=0"
"0.474980","172.19.0.3","5.9.29.183","TLSv1.2","2141","Application Data"
"0.475320","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=544 Ack=2629 Win=65535 Len=0"
"1.253506","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.295873","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=1087 Win=11911 Len=0"
"1.322589","5.9.29.183","172.19.0.3","TLSv1.2","1113","Application Data"
"1.322626","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=2144 Win=11911 Len=0"
"1.326940","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.327171","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2144 Ack=3172 Win=65535 Len=0"
"1.828302","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.829119","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.829495","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2687 Ack=3715 Win=65535 Len=0"
"2.253601","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.253628","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=4147 Ack=3715 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"2.253636","5.9.29.183","172.19.0.3","TLSv1.2","787","Application Data"
"2.253759","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=6314 Win=11895 Len=0"
"2.254119","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"2.254376","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=6314 Ack=4258 Win=65535 Len=0"
"2.331900","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.331930","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=7774 Ack=4258 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.331940","5.9.29.183","172.19.0.3","TLSv1.2","763","Application Data"
"2.332028","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=4258 Ack=9941 Win=11895 Len=0"
"2.373241","5.9.29.183","172.19.0.3","TLSv1.2","1113","Application Data"
"2.376659","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"2.376999","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=10998 Ack=4801 Win=65535 Len=0"
"2.770158","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"2.771003","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"2.771396","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=11541 Ack=5344 Win=65535 Len=0"
"3.299764","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"3.340681","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5344 Ack=12084 Win=11911 Len=0"
"3.374794","5.9.29.183","172.19.0.3","TCP","503","[TCP segment of a reassembled PDU]"
"3.374813","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5344 Ack=12531 Win=11911 Len=0"
"3.374827","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=12531 Ack=5344 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.374836","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5344 Ack=13991 Win=11903 Len=0"
"3.374836","5.9.29.183","172.19.0.3","TCP","1045","9002 → 43520 [PSH, ACK] Seq=13991 Ack=5344 Win=65535 Len=989 [TCP segment of a reassembled PDU]"
"3.374841","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5344 Ack=14980 Win=11896 Len=0"
"3.375557","5.9.29.183","172.19.0.3","TLSv1.2","273","Application Data"
"3.375566","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5344 Ack=15197 Win=11911 Len=0"
"3.379521","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"3.379750","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=15197 Ack=5887 Win=65535 Len=0"
"3.899319","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"3.900085","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"3.900378","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=15740 Ack=6430 Win=65535 Len=0"
"4.310109","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"4.310306","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=17188 Ack=6430 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"4.310383","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6430 Ack=18636 Win=11901 Len=0"
"4.310663","5.9.29.183","172.19.0.3","TLSv1.2","1237","Application Data"
"4.326926","5.9.29.183","172.19.0.3","TLSv1.2","149","Application Data"
"4.327099","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6430 Ack=19910 Win=11911 Len=0"
"4.365570","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"4.365600","5.9.29.183","172.19.0.3","TLSv1.2","1207","Application Data"
"4.365745","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6430 Ack=22509 Win=11903 Len=0"
"4.444275","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"4.444301","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=23969 Ack=6430 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"4.444316","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6430 Ack=25405 Win=11903 Len=0"
"4.444317","5.9.29.183","172.19.0.3","TLSv1.2","273","Application Data"
"4.448481","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"4.448737","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=25622 Ack=6973 Win=65535 Len=0"
"4.810751","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"4.811368","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"4.811804","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=26165 Ack=7516 Win=65535 Len=0"
"5.249663","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"5.249845","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=27613 Ack=7516 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"5.249898","5.9.29.183","172.19.0.3","TLSv1.2","787","Application Data"
"5.249956","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=7516 Ack=29792 Win=11895 Len=0"
"5.265374","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"5.265406","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=31252 Ack=7516 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"5.265421","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=7516 Ack=32688 Win=11903 Len=0"
"5.266185","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"5.266206","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=34148 Ack=7516 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"5.266218","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=7516 Ack=35584 Win=11903 Len=0"
"5.266221","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=35584 Ack=7516 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"5.266327","5.9.29.183","172.19.0.3","TLSv1.2","58","Application Data"
"5.266371","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=7516 Ack=37046 Win=11893 Len=0"
"5.292891","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"5.306599","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"5.306618","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=7516 Ack=39037 Win=11911 Len=0"
"5.307072","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=39037 Ack=7516 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"5.307083","5.9.29.183","172.19.0.3","TLSv1.2","1492","Application Data [TCP segment of a reassembled PDU]"
"5.307107","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=7516 Ack=41933 Win=11903 Len=0"
"5.307537","5.9.29.183","172.19.0.3","TLSv1.2","396","Application Data"
"5.314148","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
