_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.000310","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=1 Ack=544 Win=65535 Len=0"
"0.654245","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.654334","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=544 Ack=544 Win=11911 Len=0"
"0.655281","172.19.0.3","5.9.29.183","TLSv1.2","2141","Application Data"
"0.655622","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=544 Ack=2629 Win=65535 Len=0"
"1.152438","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.192866","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=1087 Win=11911 Len=0"
"1.429911","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.429937","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=1630 Win=11911 Len=0"
"1.528799","5.9.29.183","172.19.0.3","TLSv1.2","1113","Application Data"
"1.528824","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=2687 Win=11909 Len=0"
"1.533412","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.533723","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2687 Ack=3172 Win=65535 Len=0"
"1.909547","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.910467","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.910797","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=3230 Ack=3715 Win=65535 Len=0"
"2.270326","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"2.312250","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=3773 Win=11911 Len=0"
"2.363883","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.363908","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=5233 Win=11911 Len=0"
"2.363969","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=5233 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.363986","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=6693 Win=11903 Len=0"
"2.363988","5.9.29.183","172.19.0.3","TCP","105","9002 → 43520 [PSH, ACK] Seq=6693 Ack=3715 Win=65535 Len=49 [TCP segment of a reassembled PDU]"
"2.363994","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=6742 Win=11903 Len=0"
"2.363996","5.9.29.183","172.19.0.3","TLSv1.2","714","Application Data"
"2.364001","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=7400 Win=11898 Len=0"
"2.374375","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"2.374404","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=8848 Win=11911 Len=0"
"2.374562","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=8848 Ack=3715 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"2.374606","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=10296 Win=11903 Len=0"
"2.374610","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"2.374617","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=11756 Win=11895 Len=0"
"2.374619","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=11756 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.374622","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=13216 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.374644","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=13216 Win=11885 Len=0"
"2.374674","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=14676 Win=11877 Len=0"
"2.374683","5.9.29.183","172.19.0.3","TLSv1.2","1468","Application Data [TCP segment of a reassembled PDU]"
"2.374718","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=16088 Win=11869 Len=0"
"2.379571","5.9.29.183","172.19.0.3","TLSv1.2","707","Application Data"
"2.379595","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=16739 Win=11911 Len=0"
"2.391919","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"2.391943","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=18187 Win=11911 Len=0"
"2.391999","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=18187 Ack=3715 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"2.392011","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=19635 Win=11903 Len=0"
"2.395004","5.9.29.183","172.19.0.3","TLSv1.2","787","Application Data"
"2.395040","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=20366 Win=11911 Len=0"
"2.405647","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.405670","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=21826 Win=11911 Len=0"
"2.405727","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=21826 Ack=3715 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"2.405939","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=23262 Win=11911 Len=0"
"2.410259","5.9.29.183","172.19.0.3","TLSv1.2","1330","Application Data, Application Data"
"2.410723","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=24536 Win=11911 Len=0"
"2.481330","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.481563","5.9.29.183","172.19.0.3","TLSv1.2","1195","Application Data"
"2.481579","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=27135 Win=11911 Len=0"
"2.486620","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"2.486898","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=27135 Ack=4258 Win=65535 Len=0"
"2.867954","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"2.868977","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"2.869360","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=27678 Ack=4801 Win=65535 Len=0"
"3.420928","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"3.424215","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"3.424247","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=4801 Ack=29669 Win=11911 Len=0"
