_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"5.347976","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=346804 Ack=19404 Win=65535 Len=0"
"5.356945","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"5.357001","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=348252 Ack=19404 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"5.357010","5.9.29.183","172.19.0.3","TLSv1.2","1492","Application Data [TCP segment of a reassembled PDU]"
"5.357149","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=19404 Ack=351148 Win=11895 Len=0"
"5.357805","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"5.358211","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=351148 Ack=19947 Win=65535 Len=0"
"5.360981","5.9.29.183","172.19.0.3","TLSv1.2","1504","Application Data [TCP segment of a reassembled PDU]"
"5.361087","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=352596 Ack=19947 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"5.361096","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=19947 Ack=354044 Win=11901 Len=0"
"5.361835","5.9.29.183","172.19.0.3","TLSv1.2","613","Application Data"
"5.399735","5.9.29.183","172.19.0.3","TLSv1.2","1113","Application Data"
"5.399761","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=19947 Ack=355658 Win=11911 Len=0"
"5.404345","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"5.404642","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=355658 Ack=20490 Win=65535 Len=0"
"5.677726","172.19.0.3","185.21.216.198","TLSv1.2","599","Application Data"
"5.678143","185.21.216.198","172.19.0.3","TCP","56","41389 → 37034 [ACK] Seq=1 Ack=1087 Win=65535 Len=0"
"5.790783","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"5.791793","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"5.792157","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=356201 Ack=21033 Win=65535 Len=0"
"6.066618","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"6.066719","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=357661 Ack=21033 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"6.066731","5.9.29.183","172.19.0.3","TLSv1.2","763","Application Data"
"6.066868","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=21033 Ack=359828 Win=11895 Len=0"
"6.078570","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
