_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"2.332373","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=50386 Ack=5887 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.332381","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5887 Ack=51846 Win=11903 Len=0"
"2.332383","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"2.332387","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5887 Ack=53306 Win=11895 Len=0"
"2.332387","5.9.29.183","172.19.0.3","TCP","1468","9002 → 43520 [PSH, ACK] Seq=53306 Ack=5887 Win=65535 Len=1412 [TCP segment of a reassembled PDU]"
"2.332391","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5887 Ack=54718 Win=11887 Len=0"
"2.332392","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=54718 Ack=5887 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"2.332395","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5887 Ack=56166 Win=11879 Len=0"
"2.344370","5.9.29.183","172.19.0.3","TLSv1.2","1127","Application Data, Application Data"
"2.344391","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5887 Ack=57237 Win=11911 Len=0"
"2.351356","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.351374","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5887 Ack=58697 Win=11911 Len=0"
"2.351441","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=58697 Ack=5887 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.351450","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5887 Ack=60157 Win=11903 Len=0"
"2.351451","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"2.351455","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5887 Ack=61617 Win=11895 Len=0"
"2.351456","5.9.29.183","172.19.0.3","TCP","1468","9002 → 43520 [PSH, ACK] Seq=61617 Ack=5887 Win=65535 Len=1412 [TCP segment of a reassembled PDU]"
"2.351460","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=63029 Ack=5887 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.351543","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5887 Ack=64489 Win=11879 Len=0"
"2.351547","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"2.351551","5.9.29.183","172.19.0.3","TCP","1480","9002 → 43520 [PSH, ACK] Seq=65949 Ack=5887 Win=65535 Len=1424 [TCP segment of a reassembled PDU]"
"2.351552","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=67373 Ack=5887 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"2.351591","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5887 Ack=68821 Win=11853 Len=0"
"2.359574","5.9.29.183","172.19.0.3","TLSv1.2","924","Application Data, Application Data"
"2.359918","172.19.0.3","5.9.29.183","TLSv1.2","1113","Application Data"
"2.360178","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=69689 Ack=6944 Win=65535 Len=0"
