_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.000568","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=1 Ack=544 Win=65535 Len=0"
"0.666329","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.666968","172.19.0.3","5.9.29.183","TLSv1.2","2141","Application Data"
"0.667379","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=544 Ack=2629 Win=65535 Len=0"
"1.290790","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.331459","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=1087 Win=11911 Len=0"
"1.471284","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"1.471302","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=2547 Win=11911 Len=0"
"1.471314","5.9.29.183","172.19.0.3","TLSv1.2","167","Application Data"
"1.471322","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=2658 Win=11911 Len=0"
"1.474210","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.474485","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2658 Ack=3172 Win=65535 Len=0"
"1.848495","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.848977","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.849223","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=3201 Ack=3715 Win=65535 Len=0"
"2.393718","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"2.434625","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=3744 Win=11911 Len=0"
"2.450826","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.450844","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=5204 Win=11911 Len=0"
"2.450856","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=5204 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.450863","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=6664 Win=11901 Len=0"
"2.450864","5.9.29.183","172.19.0.3","TLSv1.2","1213","Application Data"
"2.450868","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=7821 Win=11893 Len=0"
"2.450869","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.450873","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=9281 Win=11885 Len=0"
"2.450874","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=9281 Ack=3715 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"2.450877","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=10717 Win=11877 Len=0"
"2.466463","5.9.29.183","172.19.0.3","TLSv1.2","337","Application Data"
