_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.000295","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=1 Ack=544 Win=65535 Len=0"
"0.264760","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.264841","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=544 Ack=544 Win=11911 Len=0"
"0.265753","172.19.0.3","5.9.29.183","TLSv1.2","2141","Application Data"
"0.266124","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=544 Ack=2629 Win=65535 Len=0"
"0.737729","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"0.737823","5.9.29.183","172.19.0.3","TLSv1.2","167","Application Data"
"0.737982","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=2115 Win=11901 Len=0"
"0.742088","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.742361","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2115 Ack=3172 Win=65535 Len=0"
"0.967580","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.968402","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.968685","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2658 Ack=3715 Win=65535 Len=0"
"1.264704","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"1.264849","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=4118 Ack=3715 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"1.264943","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.264953","5.9.29.183","172.19.0.3","TCP","1225","9002 → 43520 [PSH, ACK] Seq=7014 Ack=3715 Win=65535 Len=1169 [TCP segment of a reassembled PDU]"
"1.265000","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=8183 Win=11887 Len=0"
"1.280300","5.9.29.183","172.19.0.3","TLSv1.2","1271","Application Data"
"1.285371","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"1.285390","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=10858 Win=11911 Len=0"
"1.285429","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=10858 Ack=3715 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"1.295385","5.9.29.183","172.19.0.3","TLSv1.2","787","Application Data"
"1.295403","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=13025 Win=11911 Len=0"
"1.296744","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"1.297121","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=14473 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.297130","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=15933 Win=11911 Len=0"
