_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"0.028865","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=1 Ack=544 Win=1452 Len=0 TSval=2676773922 TSecr=1090498986"
"0.367011","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"0.367066","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=544 Ack=544 Win=5608 Len=0 TSval=1090499353 TSecr=2676773990"
"0.368175","172.18.0.2","54.38.73.16","TCP","1516","[TCP segment of a reassembled PDU]"
"0.368264","172.18.0.2","54.38.73.16","TLSv1.2","705","Application Data"
"0.391772","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=544 Ack=2629 Win=1448 Len=0 TSval=2676774013 TSecr=1090499354"
"0.777546","54.38.73.16","172.18.0.2","TLSv1.2","1639","Application Data"
"0.777599","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=2629 Ack=2115 Win=5600 Len=0 TSval=1090499763 TSecr=2676774095"
"0.783784","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"0.808386","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2115 Ack=3172 Win=1452 Len=0 TSval=2676774117 TSecr=1090499770"
"1.085539","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"1.085594","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3172 Ack=2658 Win=5608 Len=0 TSval=1090500071 TSecr=2676774171"
"1.086577","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.111730","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2658 Ack=3715 Win=1452 Len=0 TSval=2676774193 TSecr=1090500072"
"1.393937","54.38.73.16","172.18.0.2","TLSv1.2","4145","Application Data"
"1.393946","54.38.73.16","172.18.0.2","TCP","2964","[TCP segment of a reassembled PDU]"
"1.393952","54.38.73.16","172.18.0.2","TLSv1.2","2964","Application Data [TCP segment of a reassembled PDU]"
"1.394122","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=12527 Win=5549 Len=0 TSval=1090500380 TSecr=2676774258"
"1.397828","54.38.73.16","172.18.0.2","TLSv1.2","2964","Application Data [TCP segment of a reassembled PDU]"
"1.397861","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3715 Ack=15423 Win=5596 Len=0 TSval=1090500384 TSecr=2676774264"
"1.398278","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.421165","54.38.73.16","172.18.0.2","TLSv1.2","2964","Application Data [TCP segment of a reassembled PDU]"
"1.421199","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4258 Ack=18319 Win=5596 Len=0 TSval=1090500407 TSecr=2676774270"
"1.421362","54.38.73.16","172.18.0.2","TLSv1.2","4627","Application Data, Application Data"
"1.421627","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4258 Ack=22878 Win=5571 Len=0 TSval=1090500407 TSecr=2676774270"
"1.423188","54.38.73.16","172.18.0.2","TCP","68","[TCP Previous segment not captured] 21002 → 36876 [ACK] Seq=27222 Ack=4258 Win=1452 Len=0 TSval=2676774270 TSecr=1090500384"
"1.423208","54.38.73.16","172.18.0.2","TCP","1516","[TCP Out-Of-Order] 21002 → 36876 [ACK] Seq=22878 Ack=3715 Win=1452 Len=1448 TSval=2676774270 TSecr=1090500380"
"1.423215","54.38.73.16","172.18.0.2","TCP","2964","[TCP Retransmission] 21002 → 36876 [ACK] Seq=24326 Ack=3715 Win=1452 Len=2896 TSval=2676774270 TSecr=1090500384"
"1.423287","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4258 Ack=27222 Win=5588 Len=0 TSval=1090500409 TSecr=2676774270"
"1.447160","54.38.73.16","172.18.0.2","TLSv1.2","7119","Ignored Unknown Record"
"1.447299","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4258 Ack=34273 Win=5565 Len=0 TSval=1090500433 TSecr=2676774276"
"1.447717","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.460896","54.38.73.16","172.18.0.2","TLSv1.2","5860","Application Data"
"1.460931","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=4801 Ack=40065 Win=5581 Len=0 TSval=1090500447 TSecr=2676774280"
"1.473774","54.38.73.16","172.18.0.2","TLSv1.2","1016","Application Data"
"1.512809","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=41013 Ack=4801 Win=1452 Len=0 TSval=2676774293 TSecr=1090500434"
"1.512850","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.537797","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=41013 Ack=5344 Win=1452 Len=0 TSval=2676774299 TSecr=1090500499"
"1.749649","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"1.750678","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.775812","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=41556 Ack=5887 Win=1452 Len=0 TSval=2676774359 TSecr=1090500737"
"1.991030","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"2.024385","54.38.73.16","172.18.0.2","TCP","2964","[TCP segment of a reassembled PDU]"
