_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.000357","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=1 Ack=544 Win=65535 Len=0"
"0.330514","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.330598","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=544 Ack=544 Win=8466 Len=0"
"0.331518","172.19.0.3","5.9.29.183","TLSv1.2","2141","Application Data"
"0.331862","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=544 Ack=2629 Win=65535 Len=0"
"0.921010","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.962177","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=1087 Win=8466 Len=0"
"1.019967","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"1.019989","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=2547 Win=8466 Len=0"
"1.020038","5.9.29.183","172.19.0.3","TLSv1.2","167","Application Data"
"1.020054","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=2658 Win=8466 Len=0"
"1.024421","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.024781","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2658 Ack=3172 Win=65535 Len=0"
"1.293330","172.19.0.3","5.9.29.183","TLSv1.2","1627","Application Data"
"1.293744","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2658 Ack=4743 Win=65535 Len=0"
"1.353784","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.354328","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.354559","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=3201 Ack=5286 Win=65535 Len=0"
"1.402415","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.403378","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.403639","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=3744 Ack=5829 Win=65535 Len=0"
"1.570615","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.571094","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.571272","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=4287 Ack=6372 Win=65535 Len=0"
"1.700897","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
