_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.000293","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=1 Ack=544 Win=65535 Len=0"
"0.332925","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.332963","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=544 Ack=544 Win=12738 Len=0"
"0.333958","172.19.0.3","5.9.29.183","TLSv1.2","2141","Application Data"
"0.334295","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=544 Ack=2629 Win=65535 Len=0"
"0.756611","02:42:7b:11:31:3d","","ARP","44","Who has 172.19.0.3? Tell 172.19.0.1"
"0.756629","02:42:ac:13:00:03","","ARP","44","172.19.0.3 is at 02:42:ac:13:00:03"
"0.824221","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"0.824251","5.9.29.183","172.19.0.3","TLSv1.2","167","Application Data"
"0.824358","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=2115 Win=12730 Len=0"
"0.828558","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.828924","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2115 Ack=3172 Win=65535 Len=0"
"1.084484","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.085393","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.085795","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2658 Ack=3715 Win=65535 Len=0"
"1.407555","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"1.407585","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=4118 Ack=3715 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"1.407705","5.9.29.183","172.19.0.3","TLSv1.2","1237","Application Data"
"1.407778","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"1.407868","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=8195 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.407875","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.407879","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=11115 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.407930","5.9.29.183","172.19.0.3","TCP","1456","9002 → 43520 [PSH, ACK] Seq=12575 Ack=3715 Win=65535 Len=1400 [TCP segment of a reassembled PDU]"
"1.407966","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=13975 Win=12682 Len=0"
"1.423257","5.9.29.183","172.19.0.3","TLSv1.2","648","Application Data"
"1.443983","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"1.444006","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=16015 Win=12738 Len=0"
"1.444060","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=16015 Ack=3715 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"1.444217","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.444224","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=18923 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.444227","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=20383 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.444230","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.444233","5.9.29.183","172.19.0.3","TCP","754","9002 → 43520 [PSH, ACK] Seq=23303 Ack=3715 Win=65535 Len=698 [TCP segment of a reassembled PDU]"
"1.444388","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=24001 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.444395","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.444398","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=26921 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.444404","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=28381 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.444416","5.9.29.183","172.19.0.3","TCP","443","9002 → 43520 [PSH, ACK] Seq=29841 Ack=3715 Win=65535 Len=387 [TCP segment of a reassembled PDU]"
"1.444440","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=30228 Win=12649 Len=0"
"1.444952","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.445167","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=30228 Ack=4258 Win=65535 Len=0"
"1.459454","5.9.29.183","172.19.0.3","TLSv1.2","988","Application Data, Application Data"
"1.459948","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.460321","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=31160 Ack=4801 Win=65535 Len=0"
"1.474743","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"1.474777","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=32620 Ack=4801 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"1.475036","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.475043","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=35516 Ack=4801 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.475045","5.9.29.183","172.19.0.3","TCP","1480","9002 → 43520 [PSH, ACK] Seq=36976 Ack=4801 Win=65535 Len=1424 [TCP segment of a reassembled PDU]"
"1.475055","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"1.475106","5.9.29.183","172.19.0.3","TLSv1.2","1209","Application Data"
"1.475115","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=4801 Ack=34056 Win=12730 Len=0"
"1.475188","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=4801 Ack=41013 Win=12688 Len=0"
"1.511094","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"1.511124","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=42473 Ack=4801 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"1.511137","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=4801 Ack=43909 Win=12730 Len=0"
"1.511354","5.9.29.183","172.19.0.3","TLSv1.2","1237","Application Data"
"1.511364","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"1.511367","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=46550 Ack=4801 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"1.511441","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=4801 Ack=47986 Win=12706 Len=0"
"1.526887","5.9.29.183","172.19.0.3","TLSv1.2","851","Application Data"
"1.542321","5.9.29.183","172.19.0.3","TLSv1.2","1113","Application Data"
"1.542344","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=4801 Ack=49838 Win=12738 Len=0"
"1.543236","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.543522","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=49838 Ack=5344 Win=65535 Len=0"
"1.553074","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.553534","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=49838 Ack=5887 Win=65535 Len=0"
"1.608226","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.656552","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5887 Ack=50381 Win=12738 Len=0"
"1.892351","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.892398","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5887 Ack=50924 Win=12738 Len=0"
"1.893456","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.893919","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=50924 Ack=6430 Win=65535 Len=0"
"2.168406","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.168470","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=52384 Ack=6430 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"2.168552","5.9.29.183","172.19.0.3","TLSv1.2","1237","Application Data"
"2.168559","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.168563","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=56461 Ack=6430 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"2.168768","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6430 Ack=57897 Win=12706 Len=0"
"2.182198","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"2.182224","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=59357 Ack=6430 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"2.182238","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6430 Ack=60793 Win=12730 Len=0"
"2.183864","5.9.29.183","172.19.0.3","TLSv1.2","554","Application Data"
"2.204773","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.204803","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6430 Ack=62751 Win=12738 Len=0"
"2.204824","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=62751 Ack=6430 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"2.204993","5.9.29.183","172.19.0.3","TLSv1.2","1237","Application Data"
"2.205081","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6430 Ack=65368 Win=12722 Len=0"
"2.220531","5.9.29.183","172.19.0.3","TLSv1.2","1177","Application Data"
"2.254203","5.9.29.183","172.19.0.3","TLSv1.2","1113","Application Data"
"2.254226","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=6430 Ack=67546 Win=12738 Len=0"
"2.259016","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"2.259349","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=67546 Ack=6973 Win=65535 Len=0"
"2.517151","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"2.518058","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"2.518425","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=68089 Ack=7516 Win=65535 Len=0"
"2.835045","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.835074","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=69549 Ack=7516 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"2.835081","5.9.29.183","172.19.0.3","TLSv1.2","787","Application Data"
"2.835193","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=7516 Ack=71716 Win=12722 Len=0"
"2.861541","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.861567","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=73176 Ack=7516 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"2.861579","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=7516 Ack=74612 Win=12730 Len=0"
"2.861581","5.9.29.183","172.19.0.3","TLSv1.2","787","Application Data"
"2.865664","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"2.865950","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=75343 Ack=8059 Win=65535 Len=0"
"3.121938","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"3.122840","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"3.123199","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=75886 Ack=8602 Win=65535 Len=0"
"3.531346","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"3.531373","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=77346 Ack=8602 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"3.531380","5.9.29.183","172.19.0.3","TLSv1.2","787","Application Data"
"3.531487","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=8602 Ack=79513 Win=12722 Len=0"
"3.531879","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"3.532178","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=79513 Ack=9145 Win=65535 Len=0"
"3.541448","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"3.541666","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=80961 Ack=9145 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"3.541675","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"3.541789","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=83869 Ack=9145 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.541798","5.9.29.183","172.19.0.3","TCP","1480","9002 → 43520 [PSH, ACK] Seq=85329 Ack=9145 Win=65535 Len=1424 [TCP segment of a reassembled PDU]"
"3.541868","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=9145 Ack=86753 Win=12706 Len=0"
"3.546795","5.9.29.183","172.19.0.3","TLSv1.2","584","Application Data"
"3.564924","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"3.564954","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=9145 Ack=88741 Win=12738 Len=0"
"3.564973","5.9.29.183","172.19.0.3","TCP","852","9002 → 43520 [PSH, ACK] Seq=88741 Ack=9145 Win=65535 Len=796 [TCP segment of a reassembled PDU]"
"3.565159","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=89537 Ack=9145 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.565166","5.9.29.183","172.19.0.3","TLSv1.2","417","Application Data"
"3.565245","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=9145 Ack=91358 Win=12718 Len=0"
"3.576548","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data"
"3.576621","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=92818 Ack=9145 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"3.576639","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=9145 Ack=94254 Win=12730 Len=0"
"3.576642","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=94254 Ack=9145 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.576793","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"3.576800","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=97174 Ack=9145 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.576804","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=98634 Ack=9145 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.576809","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"3.576812","5.9.29.183","172.19.0.3","TCP","1444","9002 → 43520 [PSH, ACK] Seq=101554 Ack=9145 Win=65535 Len=1388 [TCP segment of a reassembled PDU]"
"3.576885","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=9145 Ack=102942 Win=12680 Len=0"
"3.580340","5.9.29.183","172.19.0.3","TLSv1.2","988","Application Data"
"3.580811","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"3.581158","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=103874 Ack=9688 Win=65535 Len=0"
"3.600933","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"3.601107","5.9.29.183","172.19.0.3","TCP","1504","9002 → 43520 [PSH, ACK] Seq=105322 Ack=9688 Win=65535 Len=1448 [TCP segment of a reassembled PDU]"
"3.601196","5.9.29.183","172.19.0.3","TLSv1.2","1237","Application Data"
"3.601267","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"3.601332","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=109411 Ack=9688 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.601339","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"3.601404","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=112331 Ack=9688 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.601410","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=113791 Ack=9688 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.601473","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"3.601479","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=116711 Ack=9688 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.601542","5.9.29.183","172.19.0.3","TCP","1420","9002 → 43520 [PSH, ACK] Seq=118171 Ack=9688 Win=65535 Len=1364 [TCP segment of a reassembled PDU]"
"3.601562","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=9688 Ack=119535 Win=12657 Len=0"
"3.603072","5.9.29.183","172.19.0.3","TLSv1.2","1504","Application Data, Application Data"
"3.603237","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=120983 Ack=9688 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.603247","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=9688 Ack=122443 Win=12730 Len=0"
"3.603250","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=122443 Ack=9688 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"3.616707","5.9.29.183","172.19.0.3","TLSv1.2","271","Application Data"
"3.616733","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=9688 Ack=124094 Win=12738 Len=0"
"3.628604","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"3.628852","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=125542 Ack=9688 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.628862","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
"3.628865","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=128462 Ack=9688 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.628877","5.9.29.183","172.19.0.3","TCP","1468","9002 → 43520 [PSH, ACK] Seq=129922 Ack=9688 Win=65535 Len=1412 [TCP segment of a reassembled PDU]"
"3.628970","5.9.29.183","172.19.0.3","TLSv1.2","1516","Application Data [TCP segment of a reassembled PDU]"
