_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.000305","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=1 Ack=544 Win=65535 Len=0"
"0.268146","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.268230","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=544 Ack=544 Win=12738 Len=0"
"0.268955","172.19.0.3","5.9.29.183","TLSv1.2","2141","Application Data"
"0.269365","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=544 Ack=2629 Win=65535 Len=0"
"0.710390","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.753109","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=1087 Win=12738 Len=0"
"0.803095","5.9.29.183","172.19.0.3","TLSv1.2","1113","Application Data"
"0.803120","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=2144 Win=12738 Len=0"
"0.807560","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.807970","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2144 Ack=3172 Win=65535 Len=0"
"1.074409","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.075181","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.075610","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2687 Ack=3715 Win=65535 Len=0"
"1.336336","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.351538","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"1.351561","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=4690 Win=12738 Len=0"
"1.351621","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=4690 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"1.351639","5.9.29.183","172.19.0.3","TLSv1.2","763","Application Data"
"1.351792","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=6857 Win=12722 Len=0"
"1.363450","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
