_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"0.063879","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=1 Ack=544 Win=1452 Len=0 TSval=2679073906 TSecr=1099698818"
"0.456022","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"0.456068","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=544 Ack=544 Win=5608 Len=0 TSval=1099699274 TSecr=2679073999"
"0.457186","172.18.0.2","54.38.73.16","TLSv1.2","2153","Application Data"
"0.482215","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=544 Ack=2629 Win=1448 Len=0 TSval=2679074010 TSecr=1099699275"
"1.070910","54.38.73.16","172.18.0.2","TLSv1.2","191","[TCP Previous segment not captured] , Ignored Unknown Record"
"1.070937","172.18.0.2","54.38.73.16","TCP","80","[TCP Dup ACK 4#1] 36876 → 21002 [ACK] Seq=2629 Ack=544 Win=5612 Len=0 TSval=1099699889 TSecr=2679074010 SLE=1992 SRE=2115"
"1.070941","54.38.73.16","172.18.0.2","TCP","1639","[TCP Retransmission] 21002 → 36876 [PSH, ACK] Seq=544 Ack=2629 Win=1452 Len=1571 TSval=2679074109 TSecr=1099699275"
"1.070968","172.18.0.2","54.38.73.16","TCP","80","36876 → 21002 [ACK] Seq=2629 Ack=2115 Win=5600 Len=0 TSval=1099699889 TSecr=2679074109 SLE=1992 SRE=2115"
"1.077374","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.100430","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2115 Ack=3172 Win=1452 Len=0 TSval=2679074165 TSecr=1099699895"
"1.479951","54.38.73.16","172.18.0.2","TLSv1.2","611","Application Data"
"1.479996","172.18.0.2","54.38.73.16","TCP","68","36876 → 21002 [ACK] Seq=3172 Ack=2658 Win=5608 Len=0 TSval=1099700298 TSecr=2679074252"
"1.481030","172.18.0.2","54.38.73.16","TLSv1.2","611","Application Data"
"1.504742","54.38.73.16","172.18.0.2","TCP","68","21002 → 36876 [ACK] Seq=2658 Ack=3715 Win=1452 Len=0 TSval=2679074266 TSecr=1099700299"
