_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.000352","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=1 Ack=544 Win=65535 Len=0"
"0.500318","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.500409","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=544 Ack=544 Win=11911 Len=0"
"0.501398","172.19.0.3","5.9.29.183","TLSv1.2","2141","Application Data"
"0.501752","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=544 Ack=2629 Win=65535 Len=0"
"1.239936","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.282026","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=1087 Win=11911 Len=0"
"1.362529","5.9.29.183","172.19.0.3","TLSv1.2","1113","Application Data"
"1.362551","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=2629 Ack=2144 Win=11911 Len=0"
"1.367015","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.367330","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2144 Ack=3172 Win=65535 Len=0"
"1.961329","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.962391","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.962755","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2687 Ack=3715 Win=65535 Len=0"
"2.573626","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"2.614637","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=3230 Win=11911 Len=0"
"2.624204","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
