_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
"0.000000","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"0.000563","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=1 Ack=544 Win=65535 Len=0"
"0.441214","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"0.441303","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=544 Ack=544 Win=11911 Len=0"
"0.442246","172.19.0.3","5.9.29.183","TLSv1.2","2141","Application Data"
"0.442599","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=544 Ack=2629 Win=65535 Len=0"
"1.248815","5.9.29.183","172.19.0.3","TLSv1.2","1113","Application Data"
"1.253319","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.253808","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=1601 Ack=3172 Win=65535 Len=0"
"1.617576","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"1.618543","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"1.618837","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=2144 Ack=3715 Win=65535 Len=0"
"2.016358","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"2.059092","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=2687 Win=11911 Len=0"
"2.103256","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.103280","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=4147 Win=11911 Len=0"
"2.103339","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=4147 Ack=3715 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"2.103361","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=5607 Win=11901 Len=0"
"2.103364","5.9.29.183","172.19.0.3","TLSv1.2","763","Application Data"
"2.103372","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=6314 Win=11896 Len=0"
"2.176092","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"2.176112","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=7774 Win=11911 Len=0"
"2.176162","5.9.29.183","172.19.0.3","TCP","1492","9002 → 43520 [PSH, ACK] Seq=7774 Ack=3715 Win=65535 Len=1436 [TCP segment of a reassembled PDU]"
"2.176209","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=9210 Win=11903 Len=0"
"2.176633","5.9.29.183","172.19.0.3","TLSv1.2","1237","Application Data"
"2.176644","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=3715 Ack=10391 Win=11911 Len=0"
"2.177058","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"2.179827","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=10391 Ack=4258 Win=65535 Len=0"
"2.188288","172.19.0.3","5.9.29.183","TLSv1.2","1113","Application Data"
"2.188523","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=10391 Ack=5315 Win=65535 Len=0"
"2.192110","5.9.29.183","172.19.0.3","TLSv1.2","149","Application Data"
"2.233644","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5315 Ack=10484 Win=11911 Len=0"
"2.659713","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"2.659802","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5315 Ack=11027 Win=11911 Len=0"
"2.660631","172.19.0.3","5.9.29.183","TLSv1.2","599","Application Data"
"2.660979","5.9.29.183","172.19.0.3","TCP","56","9002 → 43520 [ACK] Seq=11027 Ack=5858 Win=65535 Len=0"
"3.063984","5.9.29.183","172.19.0.3","TLSv1.2","599","Application Data"
"3.080453","5.9.29.183","172.19.0.3","TCP","1516","[TCP segment of a reassembled PDU]"
"3.080478","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5858 Ack=13030 Win=11911 Len=0"
"3.080538","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=13030 Ack=5858 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"3.080556","5.9.29.183","172.19.0.3","TLSv1.2","763","Application Data"
"3.080764","172.19.0.3","5.9.29.183","TCP","56","43520 → 9002 [ACK] Seq=5858 Ack=15197 Win=11895 Len=0"
"3.097079","5.9.29.183","172.19.0.3","TCP","1504","[TCP segment of a reassembled PDU]"
"3.097142","5.9.29.183","172.19.0.3","TCP","1516","9002 → 43520 [PSH, ACK] Seq=16645 Ack=5858 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
